fromNode	toNode	weight	direction	fromAltName	toAltName
FGFBP1	NEK2	0.0257061228618864	undirected	NA	NA
FGFBP1	UBE2C	0.0314473714705678	undirected	NA	NA
FGFBP1	CDC25C	0.0279218037472968	undirected	NA	NA
FGFBP1	CEP55	0.0268651929998227	undirected	NA	NA
FGFBP1	KIF4A	0.0311406451045729	undirected	NA	NA
FGFBP1	TPX2	0.0348169688915753	undirected	NA	NA
FGFBP1	CDK1	0.0249498179979848	undirected	NA	NA
FGFBP1	AURKA	0.0256413426866047	undirected	NA	NA
FGFBP1	SKA3	0.0237510657791889	undirected	NA	NA
FGFBP1	ANLN	0.028411607757808	undirected	NA	NA
FGFBP1	PLK1	0.031303305481656	undirected	NA	NA
FGFBP1	CCNB1	0.0243837439408159	undirected	NA	NA
FGFBP1	CDC20	0.0290629477531428	undirected	NA	NA
FGFBP1	E2F1	0.0212643005992704	undirected	NA	NA
FGFBP1	POC1A	0.030718305652475	undirected	NA	NA
FGFBP1	PTTG1	0.0221802794947994	undirected	NA	NA
FGFBP1	PRC1	0.0221229324909123	undirected	NA	NA
FGFBP1	DLGAP5	0.0281670683277045	undirected	NA	NA
FGFBP1	KIF18A	0.0215952485553305	undirected	NA	NA
FGFBP1	CKS2	0.0200423437012411	undirected	NA	NA
FGFBP1	TRIP13	0.0233915111452321	undirected	NA	NA
FGFBP1	ANXA8	0.0288800061391861	undirected	NA	NA
FGFBP1	KIF23	0.0244617325139772	undirected	NA	NA
FGFBP1	KIF20A	0.0241204125701217	undirected	NA	NA
FGFBP1	BCAR3	0.0269763677282846	undirected	NA	NA
IQGAP3	NEK2	0.117108183707098	undirected	NA	NA
IQGAP3	UBE2C	0.107136895503133	undirected	NA	NA
IQGAP3	SAPCD2	0.0807072121756195	undirected	NA	NA
IQGAP3	CENPF	0.126680630185499	undirected	NA	NA
IQGAP3	UBE2T	0.111133906414499	undirected	NA	NA
IQGAP3	ECT2	0.0865623418641395	undirected	NA	NA
IQGAP3	CDC25C	0.107819426320913	undirected	NA	NA
IQGAP3	CEP55	0.124203063940086	undirected	NA	NA
IQGAP3	TP73	0.0769782820116117	undirected	NA	NA
IQGAP3	PBK	0.114595919306273	undirected	NA	NA
IQGAP3	KIF4A	0.123607377288494	undirected	NA	NA
IQGAP3	CKS1B	0.081645004828366	undirected	NA	NA
IQGAP3	SPC25	0.0894031850691923	undirected	NA	NA
IQGAP3	MELK	0.126078400161812	undirected	NA	NA
IQGAP3	TPX2	0.120359776638	undirected	NA	NA
IQGAP3	CDK1	0.12479155351535	undirected	NA	NA
IQGAP3	FAM83D	0.0648980954058821	undirected	NA	NA
IQGAP3	CDC6	0.119173745621179	undirected	NA	NA
IQGAP3	AURKA	0.1247150544841	undirected	NA	NA
IQGAP3	RIBC2	0.0316716616167931	undirected	NA	NA
IQGAP3	SKA3	0.121571836437669	undirected	NA	NA
IQGAP3	S100A2	0.0463714962073798	undirected	NA	NA
IQGAP3	ANLN	0.0987796804679709	undirected	NA	NA
IQGAP3	PLK1	0.108145803358227	undirected	NA	NA
IQGAP3	KIF14	0.125341429802251	undirected	NA	NA
IQGAP3	DTL	0.133403631264225	undirected	NA	NA
IQGAP3	HRASLS2	0.0422629330823398	undirected	NA	NA
IQGAP3	CCNB1	0.117785232260647	undirected	NA	NA
IQGAP3	CDC45	0.120846294609903	undirected	NA	NA
IQGAP3	CDC20	0.114596491939795	undirected	NA	NA
IQGAP3	E2F1	0.112672215478397	undirected	NA	NA
IQGAP3	POC1A	0.0927162269892962	undirected	NA	NA
IQGAP3	CHEK1	0.113177919695863	undirected	NA	NA
IQGAP3	TTK	0.133924696748616	undirected	NA	NA
IQGAP3	PTTG1	0.116997843632573	undirected	NA	NA
IQGAP3	GPSM2	0.082082018303115	undirected	NA	NA
IQGAP3	CRTAC1	0.0241387676827225	undirected	NA	NA
IQGAP3	PRC1	0.122025614081578	undirected	NA	NA
IQGAP3	IL20RB	0.0247534366965506	undirected	NA	NA
IQGAP3	DLGAP5	0.122300403477455	undirected	NA	NA
IQGAP3	KIF18A	0.119837519184708	undirected	NA	NA
IQGAP3	TOP2A	0.126305451448405	undirected	NA	NA
IQGAP3	KRT6A	0.0236255402042109	undirected	NA	NA
IQGAP3	CCNE1	0.0959969328628352	undirected	NA	NA
IQGAP3	DEPDC1B	0.0936564914892178	undirected	NA	NA
IQGAP3	CKS2	0.105767269745427	undirected	NA	NA
IQGAP3	TRIP13	0.119933214715242	undirected	NA	NA
IQGAP3	GJB5	0.0287821492617568	undirected	NA	NA
IQGAP3	KLK6	0.0294411075379791	undirected	NA	NA
IQGAP3	DIAPH3	0.112396934922181	undirected	NA	NA
IQGAP3	HMGA2	0.0450379683524275	undirected	NA	NA
IQGAP3	KIF23	0.124922026536854	undirected	NA	NA
IQGAP3	FOXM1	0.125308457879793	undirected	NA	NA
IQGAP3	AUNIP	0.115902041941284	undirected	NA	NA
IQGAP3	OIP5	0.107444903442069	undirected	NA	NA
IQGAP3	ZMAT1	0.0454499657893119	undirected	NA	NA
IQGAP3	KIF20A	0.128024076860172	undirected	NA	NA
IQGAP3	CDCA3	0.11413144882055	undirected	NA	NA
IQGAP3	TSPOAP1	0.0230639779447795	undirected	NA	NA
IQGAP3	BTNL9	0.0281866335906738	undirected	NA	NA
IQGAP3	CDKN3	0.122650765792584	undirected	NA	NA
IQGAP3	ARX	0.0261472787084418	undirected	NA	NA
IQGAP3	FAM189A1	0.0246429531332621	undirected	NA	NA
IQGAP3	EREG	0.0209811300071112	undirected	NA	NA
IQGAP3	UBE2S	0.0774120400019801	undirected	NA	NA
IQGAP3	BCAR3	0.0355994616097986	undirected	NA	NA
IQGAP3	CHD5	0.0387083610551047	undirected	NA	NA
IQGAP3	ULBP2	0.0362476257873205	undirected	NA	NA
NEK2	UBE2C	0.184759028981911	undirected	NA	NA
NEK2	SAPCD2	0.0990559198851463	undirected	NA	NA
NEK2	CENPF	0.264864690515946	undirected	NA	NA
NEK2	UBE2T	0.189068017605036	undirected	NA	NA
NEK2	ECT2	0.167349798559954	undirected	NA	NA
NEK2	CDC25C	0.194770562416462	undirected	NA	NA
NEK2	CEP55	0.261906754744455	undirected	NA	NA
NEK2	TP73	0.115209950440954	undirected	NA	NA
NEK2	PBK	0.246009535895496	undirected	NA	NA
NEK2	KIF4A	0.264914050561206	undirected	NA	NA
NEK2	CKS1B	0.0995803969079215	undirected	NA	NA
NEK2	SPC25	0.213736349613048	undirected	NA	NA
NEK2	MELK	0.262706898080107	undirected	NA	NA
NEK2	TPX2	0.257259422549434	undirected	NA	NA
NEK2	CDK1	0.255449918994914	undirected	NA	NA
NEK2	FAM83D	0.128860653788836	undirected	NA	NA
NEK2	CDC6	0.265263493184452	undirected	NA	NA
NEK2	AURKA	0.280350933644373	undirected	NA	NA
NEK2	RIBC2	0.0843599367588881	undirected	NA	NA
NEK2	SKA3	0.228319002845026	undirected	NA	NA
NEK2	S100A2	0.074256256305977	undirected	NA	NA
NEK2	ANLN	0.199513992755532	undirected	NA	NA
NEK2	PLK1	0.185474394493064	undirected	NA	NA
NEK2	KIF14	0.271367164304869	undirected	NA	NA
NEK2	DTL	0.304402266203428	undirected	NA	NA
NEK2	HRASLS2	0.060385977447134	undirected	NA	NA
NEK2	CCNB1	0.254419093990843	undirected	NA	NA
NEK2	CDC45	0.246886473767322	undirected	NA	NA
NEK2	CDC20	0.239059915745683	undirected	NA	NA
NEK2	E2F1	0.219525064032013	undirected	NA	NA
NEK2	POC1A	0.155656657503009	undirected	NA	NA
NEK2	CHEK1	0.270450145868093	undirected	NA	NA
NEK2	TTK	0.314913809137917	undirected	NA	NA
NEK2	PTTG1	0.24007472105561	undirected	NA	NA
NEK2	GPSM2	0.169949645052431	undirected	NA	NA
NEK2	CPAMD8	0.0248592616686856	undirected	NA	NA
NEK2	CRTAC1	0.0325044154896912	undirected	NA	NA
NEK2	PRC1	0.259652438752062	undirected	NA	NA
NEK2	IL20RB	0.0433004445484093	undirected	NA	NA
NEK2	DLGAP5	0.279567482431621	undirected	NA	NA
NEK2	KIF18A	0.29186929112129	undirected	NA	NA
NEK2	TOP2A	0.30056936108181	undirected	NA	NA
NEK2	KRT6A	0.0482558148626366	undirected	NA	NA
NEK2	CCNE1	0.193695148746824	undirected	NA	NA
NEK2	DEPDC1B	0.198588179404097	undirected	NA	NA
NEK2	CKS2	0.210053997283022	undirected	NA	NA
NEK2	TRIP13	0.259454858090817	undirected	NA	NA
NEK2	GJB5	0.0466341024835072	undirected	NA	NA
NEK2	KLK6	0.0567671203625047	undirected	NA	NA
NEK2	ANXA8	0.0271692246005852	undirected	NA	NA
NEK2	DIAPH3	0.256225266073816	undirected	NA	NA
NEK2	HMGA2	0.0770721511641604	undirected	NA	NA
NEK2	KIF23	0.287572295668643	undirected	NA	NA
NEK2	FOXM1	0.271665537449792	undirected	NA	NA
NEK2	AUNIP	0.277522066657621	undirected	NA	NA
NEK2	OIP5	0.20974884224322	undirected	NA	NA
NEK2	ZMAT1	0.0645162238106564	undirected	NA	NA
NEK2	KIF20A	0.298530730471715	undirected	NA	NA
NEK2	DSG3	0.0357730329120269	undirected	NA	NA
NEK2	CDCA3	0.208461939530946	undirected	NA	NA
NEK2	TSPOAP1	0.053132271801016	undirected	NA	NA
NEK2	BTNL9	0.0503444768529003	undirected	NA	NA
NEK2	CDKN3	0.301673877773714	undirected	NA	NA
NEK2	PTPRN2	0.0250410622029245	undirected	NA	NA
NEK2	ARX	0.0389901973941297	undirected	NA	NA
NEK2	FAM189A1	0.0340061411911069	undirected	NA	NA
NEK2	PCSK1N	0.0300013765766948	undirected	NA	NA
NEK2	EREG	0.0341060265047483	undirected	NA	NA
NEK2	UBE2S	0.0966035919798461	undirected	NA	NA
NEK2	BCAR3	0.0551957997818744	undirected	NA	NA
NEK2	CHD5	0.0663382851037436	undirected	NA	NA
NEK2	ULBP2	0.0624351040993728	undirected	NA	NA
UBE2C	SAPCD2	0.111356668620875	undirected	NA	NA
UBE2C	CENPF	0.195058600199566	undirected	NA	NA
UBE2C	LY6D	0.0289976687468042	undirected	NA	NA
UBE2C	UBE2T	0.177974530209523	undirected	NA	NA
UBE2C	ECT2	0.118517489021687	undirected	NA	NA
UBE2C	CDC25C	0.188665529254887	undirected	NA	NA
UBE2C	CEP55	0.224591441029496	undirected	NA	NA
UBE2C	TP73	0.122253712029907	undirected	NA	NA
UBE2C	PBK	0.213352498734775	undirected	NA	NA
UBE2C	KIF4A	0.227321884094298	undirected	NA	NA
UBE2C	CKS1B	0.0959743589877422	undirected	NA	NA
UBE2C	SPC25	0.191894974990967	undirected	NA	NA
UBE2C	MELK	0.223103452101914	undirected	NA	NA
UBE2C	TPX2	0.228159871345557	undirected	NA	NA
UBE2C	CDK1	0.228767654900462	undirected	NA	NA
UBE2C	FAM83D	0.102888965660922	undirected	NA	NA
UBE2C	CDC6	0.232159601963051	undirected	NA	NA
UBE2C	AURKA	0.248165665000673	undirected	NA	NA
UBE2C	RIBC2	0.0778515202573737	undirected	NA	NA
UBE2C	SKA3	0.208729304516283	undirected	NA	NA
UBE2C	S100A2	0.0886665873592676	undirected	NA	NA
UBE2C	ANLN	0.151251778471905	undirected	NA	NA
UBE2C	PLK1	0.18361858884232	undirected	NA	NA
UBE2C	KIF14	0.185105396577631	undirected	NA	NA
UBE2C	DTL	0.224134516155135	undirected	NA	NA
UBE2C	HRASLS2	0.0713079033431565	undirected	NA	NA
UBE2C	CCNB1	0.236802200134916	undirected	NA	NA
UBE2C	CDC45	0.238633404594467	undirected	NA	NA
UBE2C	CDC20	0.245073916964814	undirected	NA	NA
UBE2C	E2F1	0.225591968241326	undirected	NA	NA
UBE2C	POC1A	0.172999427653854	undirected	NA	NA
UBE2C	CHEK1	0.231532094705854	undirected	NA	NA
UBE2C	TTK	0.254663113529469	undirected	NA	NA
UBE2C	PTTG1	0.252384099009364	undirected	NA	NA
UBE2C	GPSM2	0.127985683223672	undirected	NA	NA
UBE2C	CPAMD8	0.0212592832193108	undirected	NA	NA
UBE2C	CRTAC1	0.0300360886753936	undirected	NA	NA
UBE2C	PRC1	0.216378869627787	undirected	NA	NA
UBE2C	IL20RB	0.0521409853451766	undirected	NA	NA
UBE2C	DLGAP5	0.242548979306342	undirected	NA	NA
UBE2C	KIF18A	0.233704789395828	undirected	NA	NA
UBE2C	TOP2A	0.223688457416638	undirected	NA	NA
UBE2C	KRT6A	0.052498232462311	undirected	NA	NA
UBE2C	CCNE1	0.194746213374322	undirected	NA	NA
UBE2C	DEPDC1B	0.169024949922385	undirected	NA	NA
UBE2C	CKS2	0.210860181722736	undirected	NA	NA
UBE2C	TRIP13	0.227389215134908	undirected	NA	NA
UBE2C	GJB5	0.058819262145651	undirected	NA	NA
UBE2C	KLK6	0.0603717360731027	undirected	NA	NA
UBE2C	ANXA8	0.0354853970875931	undirected	NA	NA
UBE2C	DIAPH3	0.192945955083194	undirected	NA	NA
